user_id,register_time,user_level
user_1,2025-06-26,5
user_2,2024-04-04,5
user_3,2025-06-09,5
user_4,2024-07-06,10
user_5,2024-04-25,6
user_6,2025-02-18,10
user_7,2024-05-29,5
user_8,2024-03-31,7
user_9,2025-01-26,3
user_10,2024-10-30,9
user_11,2025-01-26,8
user_12,2025-09-07,10
user_13,2024-04-14,6
user_14,2025-11-01,1
user_15,2024-08-28,8
user_16,2024-08-13,2
user_17,2024-08-08,6
user_18,2025-08-27,1
user_19,2025-09-28,6
user_20,2024-11-05,5
user_21,2025-01-18,4
user_22,2024-07-31,7
user_23,2025-04-29,1
user_24,2024-05-15,8
user_25,2025-04-03,9
user_26,2025-03-03,3
user_27,2024-11-26,9
user_28,2024-12-06,8
user_29,2025-10-25,1
user_30,2025-06-12,9
user_31,2024-03-24,5
user_32,2025-10-28,4
user_33,2024-08-25,10
user_34,2024-07-08,10
user_35,2024-06-25,2
user_36,2025-10-07,3
user_37,2024-06-20,6
user_38,2024-08-01,8
user_39,2025-10-10,3
user_40,2024-11-09,4
user_41,2024-04-09,2
user_42,2025-09-22,10
user_43,2024-10-21,7
user_44,2024-08-26,4
user_45,2024-11-25,1
user_46,2025-02-09,8
user_47,2025-07-15,1
user_48,2024-05-16,2
user_49,2025-07-16,5
user_50,2024-11-26,4
